fmv:  [341206, 341206, 235000, 230000, 202588] total loss= 433274.50864077656
fmv:  [341206, 341206, 235000, 235000, 197588] total loss= 433274.50864077656
fmv:  [341206, 341206, 235000, 240000, 192588] total loss= 433274.50864077656
fmv:  [341206, 341206, 235000, 245000, 187588] total loss= 433274.50864077656
fmv:  [341206, 341206, 235000, 250000, 182588] total loss= 433274.50864077656
fmv:  [341206, 341206, 235000, 255000, 177588] total loss= 433274.50864077656
fmv:  [341206, 341206, 235000, 300000, 132588] total loss= 433274.50864077656
fmv:  [341206, 341206, 235000, 305000, 127588] total loss= 433274.50864077656
fmv:  [341206, 341206, 235000, 310000, 122588] total loss= 433274.50864077656
fmv:  [341206, 341206, 235000, 315000, 117588] total loss= 433274.50864077656
fmv:  [341206, 341206, 235000, 320000, 112588] total loss= 433274.50864077656
fmv:  [341206, 341206, 235000, 325000, 107588] total loss= 433274.50864077656
fmv:  [341206, 341206, 235000, 330000, 102588] total loss= 433274.50864077656
fmv:  [341206, 341206, 235000, 335000, 97588] total loss= 433274.50864077656
fmv:  [341206, 341206, 235000, 340000, 92588] total loss= 433274.50864077656
fmv:  [341206, 341206, 240000, 130000, 297588] total loss= 433274.50864077656
fmv:  [341206, 341206, 240000, 135000, 292588] total loss= 433274.50864077656
fmv:  [341206, 341206, 240000, 140000, 287588] total loss= 433274.50864077656
fmv:  [341206, 341206, 240000, 145000, 282588] total loss= 433274.50864077656
fmv:  [341206, 341206, 240000, 150000, 277588] total loss= 433274.50864077656
fmv:  [341206, 341206, 240000, 155000, 272588] total loss= 433274.50864077656
fmv:  [341206, 341206, 240000, 160000, 267588] total loss= 433274.50864077656
fmv:  [341206, 341206, 240000, 220000, 207588] total loss= 433274.50864077656
fmv:  [341206, 341206, 240000, 225000, 202588] total loss= 433274.50864077656
fmv:  [341206, 341206, 240000, 230000, 197588] total loss= 433274.50864077656
fmv:  [341206, 341206, 240000, 235000, 192588] total loss= 433274.50864077656
fmv:  [341206, 341206, 240000, 240000, 187588] total loss= 433274.50864077656
fmv:  [341206, 341206, 240000, 245000, 182588] total loss= 433274.50864077656
fmv:  [341206, 341206, 240000, 250000, 177588] total loss= 433274.50864077656
fmv:  [341206, 341206, 240000, 300000, 127588] total loss= 433274.50864077656
fmv:  [341206, 341206, 240000, 305000, 122588] total loss= 433274.50864077656
fmv:  [341206, 341206, 240000, 310000, 117588] total loss= 433274.50864077656
fmv:  [341206, 341206, 240000, 315000, 112588] total loss= 433274.50864077656
fmv:  [341206, 341206, 240000, 320000, 107588] total loss= 433274.50864077656
